Stkcd,Trddt,Opnprc,Hiprc,Loprc,Clsprc,Dnshrtrd,Dnvaltrd,Dsmvosd,Dsmvtll,Dretwd,Dretnd,Adjprcwd,Adjprcnd,Markettype,Capchgdt,Trdsta,Ahshrtrd_D,Ahvaltrd_D,PreClosePrice,ChangeRatio,index_ret
000001,1993-01-03,44.5,45.5,44.5,45.45,973300,44049585.0,3068695.33,6121961.61,0.021348,0.021348,79.480731,78.999784,4,1992-03-23,1,,,44.5,0.021348,
000001,1993-01-04,45.5,45.8,44.9,45.0,1183400,53747465.0,3038312.21,6061348.13,-0.009901,-0.009901,78.693793,78.217608,4,1992-03-23,1,,,45.45,-0.009901,
000001,1993-01-05,45.0,45.5,44.8,45.1,665300,30012135.0,3045064.01,6074817.79,0.002222,0.002222,78.868668,78.391425,4,1992-03-23,1,,,45.0,0.002222,
000001,1993-01-06,45.0,45.5,45.0,45.5,665400,30137060.0,3072071.23,6128696.44,0.008869,0.008869,79.568169,79.086692,4,1992-03-23,1,,,45.1,0.008869,
000001,1993-01-07,45.5,46.0,45.25,46.0,655500,29975130.0,3105830.25,6196044.75,0.010989,0.010989,80.442544,79.955777,4,1992-03-23,1,,,45.5,0.010989,
000001,1993-01-08,46.0,46.25,45.85,46.25,912700,42013480.0,3122709.77,6229718.91,0.005435,0.005435,80.879732,80.390319,4,1992-03-23,1,,,46.0,0.005435,
000001,1993-01-11,46.4,48.0,46.3,47.7,962400,45488565.0,3220610.94,6425029.01,0.031351,0.031351,83.415421,82.910664,4,1992-03-23,1,,,46.25,0.031351,
000001,1993-01-12,47.85,47.9,46.3,46.5,1031400,48590050.0,3139589.28,6263393.06,-0.025157,-0.025157,81.31692,80.824861,4,1992-03-23,1,,,47.7,-0.025157,
000001,1993-01-13,46.5,47.4,46.3,47.0,847800,39753690.0,3173348.3,6330741.38,0.010753,0.010753,82.191295,81.693946,4,1992-03-23,1,,,46.5,0.010753,
000001,1993-01-14,47.0,47.3,46.6,46.8,772400,36235555.0,3159844.69,6303802.05,-0.004255,-0.004255,81.841545,81.346312,4,1992-03-23,1,,,47.0,-0.004255,
000001,1993-01-15,46.8,47.3,46.5,47.2,696300,32621020.0,3186851.91,6357680.7,0.008547,0.008547,82.541045,82.04158,4,1992-03-23,1,,,46.8,0.008547,
000001,1993-01-18,47.05,48.7,47.05,48.6,1135000,54418135.0,3281377.18,6546255.98,0.029661,0.029661,84.989297,84.475016,4,1992-03-23,1,,,47.2,0.029661,
000001,1993-01-19,48.75,49.25,48.7,48.9,1388700,68029680.0,3301632.6,6586664.96,0.006173,0.006173,85.513922,84.996467,4,1992-03-23,1,,,48.6,0.006173,
000001,1993-02-01,49.0,53.55,49.0,52.8,1126900,59535505.0,3564952.99,7111981.8,0.079755,0.079755,92.334051,91.775326,4,1992-03-23,1,,,48.9,0.079755,
000001,1993-02-02,52.95,54.9,52.95,53.8,1117600,60224690.0,3632471.04,7246678.43,0.018939,0.018939,94.082802,93.513495,4,1992-03-23,1,,,52.8,0.018939,
000001,1993-02-03,53.95,54.3,52.45,52.5,973600,51704130.0,3544697.57,7071572.81,-0.024164,-0.024164,91.809426,91.253876,4,1992-03-23,1,,,53.8,-0.024164,
000001,1993-02-04,52.5,53.0,51.8,52.8,1032600,54236250.0,3564952.99,7111981.8,0.005714,0.005714,92.334051,91.775326,4,1992-03-23,1,,,52.5,0.005714,
000001,1993-02-05,52.8,53.15,52.45,52.8,1222600,64510830.0,3564952.99,7111981.8,0.0,0.0,92.334051,91.775326,4,1992-03-23,1,,,52.8,0.0,
000001,1993-02-08,52.95,54.8,52.95,54.0,1375000,74682690.0,3645974.65,7273617.75,0.022727,0.022727,94.432552,93.861129,4,1992-03-23,1,,,52.8,0.022727,
000001,1993-02-09,54.0,54.6,53.5,53.9,1633900,88149350.0,3639222.84,7260148.09,-0.001852,-0.001852,94.257677,93.687312,4,1992-03-23,1,,,54.0,-0.001852,
000001,1993-02-10,54.0,55.0,54.0,54.4,1057600,57599740.0,3672981.87,7327496.4,0.009276,0.009276,95.132052,94.556397,4,1992-03-23,1,,,53.9,0.009276,
000001,1993-02-11,54.4,55.0,54.0,54.5,1454700,79302360.0,3679733.67,7340966.06,0.001838,0.001838,95.306927,94.730214,4,1992-03-23,1,,,54.4,0.001838,
000001,1993-02-12,54.5,54.5,51.95,53.1,2437500,129768945.0,3585208.4,7152390.79,-0.025688,-0.025688,92.858676,92.296777,4,1992-03-23,1,,,54.5,-0.025688,
000001,1993-02-15,53.1,55.95,53.1,55.5,1656900,91316525.0,3747251.72,7475662.69,0.045198,0.045198,97.055678,96.468383,4,1992-03-23,1,,,53.1,0.045198,
000001,1993-02-16,55.65,56.7,55.65,55.9,1826200,102655825.0,3774258.94,7529541.34,0.007207,0.007207,97.755179,97.16365,4,1992-03-23,1,,,55.5,0.007207,
000001,1993-02-17,56.0,56.5,55.25,56.4,1310900,73203945.0,3808017.96,7596889.65,0.008945,0.008945,98.629554,98.032735,4,1992-03-23,1,,,55.9,0.008945,
000001,1993-02-18,56.55,57.0,56.0,57.0,1205300,68287190.0,3848528.79,7677707.63,0.010638,0.010638,99.678805,99.075636,4,1992-03-23,1,,,56.4,0.010638,
000001,1993-02-19,57.0,58.8,57.0,58.8,1361100,78971170.0,3970061.28,7920161.55,0.031579,0.031579,102.826557,102.204341,4,1992-03-23,1,,,57.0,0.031579,
000001,1993-02-22,58.8,61.6,58.8,60.65,1591800,96859580.0,4094969.67,8169350.31,0.031463,0.031463,106.061746,105.419953,4,1992-03-23,1,,,58.8,0.031463,
000001,1993-02-23,60.8,60.8,59.8,59.9,1340100,80635385.0,4044331.14,8068327.84,-0.012366,-0.012366,104.750183,104.116327,4,1992-03-23,1,,,60.65,-0.012366,
000001,1993-02-24,60.0,60.0,57.2,57.45,1868300,108702605.0,3878911.92,7738321.11,-0.040902,-0.040902,100.465743,99.857812,4,1992-03-23,1,,,59.9,-0.040902,
000001,1993-02-25,57.5,59.7,56.9,59.2,1633500,94972525.0,3997068.5,7974040.2,0.030461,0.030461,103.526057,102.899608,4,1992-03-23,1,,,57.45,0.030461,
000001,1993-02-26,59.35,60.0,58.3,58.8,1184900,69816555.0,3970061.28,7920161.55,-0.006757,-0.006757,102.826557,102.204341,4,1992-03-23,1,,,59.2,-0.006757,
000001,1993-03-01,58.95,62.0,58.95,60.7,2467500,149692055.0,4098345.57,8176085.14,0.032313,0.032313,106.149183,105.506862,4,1992-03-23,1,,,58.8,0.032313,
000001,1993-03-02,60.85,60.85,59.5,59.6,1269600,76301940.0,4024075.72,8027918.85,-0.018122,-0.018122,104.225557,103.594876,4,1992-03-23,1,,,60.7,-0.018122,
000001,1993-03-03,59.5,59.8,57.8,57.8,1216100,71789725.0,3902543.23,7785464.93,-0.030201,-0.030201,101.077806,100.466172,4,1992-03-23,1,,,59.6,-0.030201,
000001,1993-03-04,57.8,59.0,56.85,58.1,2125300,122828755.0,3922798.65,7825873.91,0.00519,0.00519,101.602431,100.987622,4,1992-03-23,1,,,57.8,0.00519,
000001,1993-03-05,58.25,58.5,56.0,56.0,1573300,90654950.0,3781010.74,7543011.0,-0.036145,-0.036145,97.930054,97.337467,4,1992-03-23,1,,,58.1,-0.036145,
000001,1993-03-08,56.0,58.0,56.0,57.5,1526600,87618205.0,3882287.82,7745055.94,0.026786,0.026786,100.55318,99.944721,4,1992-03-23,1,,,56.0,0.026786,
000001,1993-03-09,57.5,58.0,56.8,57.25,950100,54491015.0,3865408.31,7711381.78,-0.004348,-0.004348,100.115993,99.510179,4,1992-03-23,1,,,57.5,-0.004348,
000001,1993-03-10,57.1,58.6,57.1,58.55,1128200,65366030.0,3953181.77,7886487.39,0.022707,0.022707,102.389369,101.769798,4,1992-03-23,1,,,57.25,0.022707,
000001,1993-03-11,58.7,59.0,58.5,58.65,1050800,61794325.0,3959933.57,7899957.06,0.001708,0.001708,102.564244,101.943615,4,1992-03-23,1,,,58.55,0.001708,
000001,1993-03-12,58.8,59.0,58.7,59.0,939600,55378850.0,3983564.89,7947100.88,0.005968,0.005968,103.176307,102.551974,4,1992-03-23,1,,,58.65,0.005968,
000001,1993-03-15,59.0,59.0,56.8,57.7,1328200,76699975.0,3895791.43,7771995.26,-0.022034,-0.022034,100.902931,100.292355,4,1992-03-23,1,,,59.0,-0.022034,
000001,1993-03-16,57.7,58.5,57.7,58.1,960800,55764285.0,3922798.65,7825873.91,0.006932,0.006932,101.602431,100.987622,4,1992-03-23,1,,,57.7,0.006932,
000001,1993-03-17,58.0,58.2,57.4,57.5,852900,49267200.0,3882287.82,7745055.94,-0.010327,-0.010327,100.55318,99.944721,4,1992-03-23,1,,,58.1,-0.010327,
000001,1993-03-18,57.5,58.0,57.05,57.7,704000,40640895.0,3895791.43,7771995.26,0.003478,0.003478,100.902931,100.292355,4,1992-03-23,1,,,57.5,0.003478,
000001,1993-03-19,57.85,58.0,57.4,57.9,763800,44168290.0,3909295.04,7798934.59,0.003466,0.003466,101.252681,100.639988,4,1992-03-23,1,,,57.7,0.003466,
000001,1993-03-22,58.0,58.0,56.6,56.8,817300,46907035.0,3835025.18,7650768.3,-0.018998,-0.018998,99.329055,98.728003,4,1992-03-23,1,,,57.9,-0.018998,
000001,1993-03-23,56.8,57.1,56.0,56.4,955100,53923535.0,3808017.96,7596889.65,-0.007042,-0.007042,98.629554,98.032735,4,1992-03-23,1,,,56.8,-0.007042,
000001,1993-03-24,56.4,56.6,55.1,55.3,837300,46841465.0,3733748.11,7448723.36,-0.019504,-0.019504,96.705928,96.120749,4,1992-03-23,1,,,56.4,-0.019504,
000001,1993-03-25,55.3,57.2,54.8,57.05,941400,52256605.0,3851904.7,7684442.46,0.031646,0.031646,99.766242,99.162545,4,1992-03-23,1,,,55.3,0.031646,
000001,1993-03-26,57.2,57.9,57.1,57.1,849300,48910350.0,3855280.6,7691177.29,0.000876,0.000876,99.85368,99.249453,4,1992-03-23,1,,,57.05,0.000876,
000001,1993-03-29,57.2,57.2,56.5,56.9,479300,27314380.0,3841776.99,7664237.96,-0.003503,-0.003503,99.50393,98.901819,4,1992-03-23,1,,,57.1,-0.003503,
000001,1993-03-30,56.9,57.0,56.45,56.95,374200,21233370.0,3845152.89,7670972.79,0.000879,0.000879,99.591367,98.988728,4,1992-03-23,1,,,56.9,0.000879,
000001,1993-03-31,57.0,57.5,56.95,57.4,463500,26537525.0,3875536.01,7731586.28,0.007902,0.007902,100.378305,99.770904,4,1992-03-23,1,,,56.95,0.007902,
000001,1993-04-01,57.5,57.55,57.2,57.4,419700,24099840.0,3875536.01,7731586.28,0.0,0.0,100.378305,99.770904,4,1992-03-23,1,,,57.4,0.0,
000001,1993-04-02,57.5,57.8,57.25,57.4,507800,29230615.0,3875536.01,7731586.28,0.0,0.0,100.378305,99.770904,4,1992-03-23,1,,,57.4,0.0,
000001,1993-04-05,57.4,57.45,57.0,57.05,410900,23524000.0,3851904.7,7684442.46,-0.006098,-0.006098,99.766242,99.162545,4,1992-03-23,1,,,57.4,-0.006098,
000001,1993-04-06,57.0,57.35,56.6,57.15,429500,24493300.0,3858656.5,7697912.12,0.001753,0.001753,99.941117,99.336362,4,1992-03-23,1,,,57.05,0.001753,
000001,1993-04-07,57.0,57.8,57.0,57.75,462600,26649175.0,3899167.33,7778730.09,0.010499,0.010499,100.990368,100.379263,4,1992-03-23,1,,,57.15,0.010499,
000001,1993-04-08,57.9,58.5,57.9,58.45,734600,42767960.0,3946429.96,7873017.73,0.012121,0.012121,102.214494,101.595981,4,1992-03-23,1,,,57.75,0.012121,
000001,1993-04-09,58.5,58.7,58.1,58.25,711000,41622910.0,3932926.35,7846078.41,-0.003422,-0.003422,101.864744,101.248348,4,1992-03-23,1,,,58.45,-0.003422,
000001,1993-04-12,58.4,60.9,58.4,60.55,1561200,93706295.0,4088217.87,8155880.64,0.039485,0.039485,105.886871,105.246136,4,1992-03-23,1,,,58.25,0.039485,
000001,1993-04-13,60.7,61.15,60.55,61.0,1636000,99547980.0,4118600.99,8216494.13,0.007432,0.007432,106.673809,106.028313,4,1992-03-23,1,,,60.55,0.007432,
000001,1993-04-14,61.0,61.0,60.7,60.85,1204300,73313195.0,4108473.28,8196289.63,-0.002459,-0.002459,106.411496,105.767587,4,1992-03-23,1,,,61.0,-0.002459,
000001,1993-04-15,61.0,61.0,60.3,60.7,1085700,65849810.0,4098345.57,8176085.14,-0.002465,-0.002465,106.149183,105.506862,4,1992-03-23,1,,,60.85,-0.002465,
000001,1993-04-16,60.8,61.0,60.5,60.9,884800,53825015.0,4111849.18,8203024.46,0.003295,0.003295,106.498934,105.854496,4,1992-03-23,1,,,60.7,0.003295,
000001,1993-04-19,61.0,61.0,60.15,60.2,945100,57237695.0,4064586.55,8108736.83,-0.011494,-0.011494,105.274808,104.637777,4,1992-03-23,1,,,60.9,-0.011494,
000001,1993-04-20,60.2,60.2,59.7,59.95,554300,33250940.0,4047707.04,8075062.67,-0.004153,-0.004153,104.83762,104.203235,4,1992-03-23,1,,,60.2,-0.004153,
000001,1993-04-21,60.0,60.0,59.65,59.95,362500,21715255.0,4047707.04,8075062.67,0.0,0.0,104.83762,104.203235,4,1992-03-23,1,,,59.95,0.0,
000001,1993-04-22,60.0,60.1,59.7,59.7,421600,25287375.0,4030827.53,8041388.51,-0.00417,-0.00417,104.400432,103.768693,4,1992-03-23,1,,,59.95,-0.00417,
000001,1993-04-23,59.7,59.7,58.8,59.2,541900,32082040.0,3997068.5,7974040.2,-0.008375,-0.008375,103.526057,102.899608,4,1992-03-23,1,,,59.7,-0.008375,
000001,1993-04-26,59.2,59.2,58.5,59.2,397300,23445865.0,3997068.5,7974040.2,0.0,0.0,103.526057,102.899608,4,1992-03-23,1,,,59.2,0.0,
000001,1993-04-27,59.2,59.35,59.0,59.05,249200,14734190.0,3986940.79,7953835.71,-0.002534,-0.002534,103.263744,102.638883,4,1992-03-23,1,,,59.2,-0.002534,
000001,1993-04-28,59.0,59.0,58.75,59.0,334400,19718450.0,3983564.89,7947100.88,-0.000847,-0.000847,103.176307,102.551974,4,1992-03-23,1,,,59.05,-0.000847,
000001,1993-04-29,59.0,59.0,58.6,58.6,288600,16979345.0,3956557.67,7893222.23,-0.00678,-0.00678,102.476806,101.856707,4,1992-03-23,1,,,59.0,-0.00678,
000001,1993-04-30,58.6,58.85,58.45,58.8,414300,24323325.0,3970061.28,7920161.55,0.003413,0.003413,102.826557,102.204341,4,1992-03-23,1,,,58.6,0.003413,
000001,1993-05-03,58.8,58.8,58.0,58.05,279500,16325170.0,3919422.74,7819139.08,-0.012755,-0.012755,101.514993,100.900714,4,1992-03-23,1,,,58.8,-0.012755,
000001,1993-05-04,58.0,58.15,57.75,58.0,341000,19767710.0,3916046.84,7812404.25,-0.000861,-0.000861,101.427556,100.813805,4,1992-03-23,1,,,58.05,-0.000861,
