"word","positive","negative","freq"
"预告",1,0,40512
"上调",1,0,34046
"股权",1,0,71447
"本次",1,0,25826
"激励",1,0,59573
"超出",1,0,8601
"万股",1,0,10671
"对象",1,0,8510
"董事",1,0,3370
"限制性",1,0,9541
"授予",1,0,13659
"草案",1,0,4401
"大超",1,0,2716
"公告",0.998,0,28006
"彰显",0.998,0,17585
"信心",0.996,0,19596
"计划",0.994,0,62619
"股本",0.994,0,13340
"青花",0.994,0,2849
"预计",0.992,0,368225
"业绩考核",0.992,0,3821
"快报",0.99,0,14860
"骨干",0.99,0,4589
"产品",0.988,0,403588
"股份",0.988,0,83897
"考核",0.986,0,7722
"预增",0.986,0,3925
"管理人员",0.984,0,4709
"公司",0.982,0,2081117
"绑定",0.982,0,8926
"加速",0.98,0,92189
"买入",0.98,0,108900
"略超",0.98,0,7783
"提升",0.976,0,443026
"技术",0.974,0,106427
"高管",0.972,0,4555
"方案",0.968,0,16864
"期权",0.966,0,5223
"目标",0.962,0,45559
"中层",0.964,0.002,1559
"预期",0.958,0,444948
"车型",0.956,0,15084
"复合",0.956,0,19048
"复兴",0.958,0.002,1401
"再超",0.958,0.002,950
"积极性",0.954,0,5775
"拟向",0.954,0,4672
"石头",0.952,0,1121
"持股",0.952,0.002,20958
"全球",0.948,0,104866
"玻汾",0.946,0,899
"解锁",0.944,0,2899
"管理层",0.944,0.002,10994
"汾酒",0.94,0.002,2369
"有望",0.936,0,334124
"配套",0.934,0.002,25377
"员工",0.932,0,24356
"万份",0.926,0,2145
"利益",0.924,0.002,5582
"回购",0.92,0.002,18868
"收购",0.92,0.004,49563
"爱美",0.92,0.004,1048
"份额",0.912,0,23054
"年度",0.912,0,21892
"客户",0.91,0.002,141220
"行权",0.91,0.002,2573
"产能",0.912,0.006,205483
"价格",0.902,0,121709
"材料",0.904,0.002,62940
"股票",0.904,0.002,32016
"测算",0.902,0,22790
"领域",0.904,0.006,133357
"合作",0.9,0.002,55892
"特斯拉",0.906,0.008,6557
"高瓴",0.904,0.008,838
"龙头",0.894,0,102808
"能力",0.892,0,159143
"山西汾酒",0.892,0,1443
"自主",0.892,0.002,32115
"长城汽车",0.9,0.01,3238
"优势",0.886,0,127437
"智能",0.89,0.004,64741
"家化",0.894,0.008,1048
"超过",0.886,0.002,60913
"核心",0.884,0,113343
"对价",0.882,0.002,1806
"厂商",0.88,0.002,23367
"渗透率",0.88,0.002,18212
"公司公告",0.874,0,20316
"转让",0.874,0.002,9890
"量产",0.872,0.002,15292
"长安",0.888,0.018,6515
"国产",0.874,0.006,26748
"首次",0.868,0,35901
"万润",0.866,0,800
"国盛",0.87,0.004,11187
"业绩",0.864,0,406053
"激发",0.862,0,4531
"月销量",0.864,0.004,4659
"供货",0.86,0,7310
"金赛",0.878,0.022,1499
"强劲",0.852,0,20680
"深度",0.852,0,24129
"董事长",0.852,0,4244
"需求",0.848,0,186855
"皮卡",0.854,0.008,1864
"效率",0.846,0.002,28779
"拓邦",0.85,0.01,521
"认购",0.842,0.004,4258
"公牛",0.84,0.002,859
"砌块",0.868,0.03,1355
"扫地",0.858,0.02,1333
"海尔",0.844,0.016,2795
"继电器",0.858,0.032,2252
"上限",0.826,0,5825
"新车型",0.828,0.004,3398
"入股",0.83,0.008,2956
"安井",0.836,0.016,1396
"单车",0.826,0.006,5269
"一汽大众",0.828,0.008,1092
"操作系统",0.836,0.016,2716
"高端",0.826,0.01,62872
"海信",0.852,0.036,1800
"快速",0.818,0.004,70084
"拐点",0.814,0.002,18745
"电池",0.83,0.018,34500
"扩产",0.82,0.01,24168
"安信",0.818,0.008,9833
"巨头",0.81,0.002,7102
"发展",0.81,0.004,190794
"万辆",0.826,0.02,18440
"沸石",0.826,0.026,1233
"持有",0.804,0.004,15438
"战略",0.802,0.002,75356
"宝马",0.8,0,2241
"尺寸",0.808,0.008,6943
"预留",0.804,0.004,1588
"热销",0.798,0,1380
"年收入",0.798,0,17292
"钢结构",0.818,0.02,3453
"柠檬",0.806,0.01,777
"注射",0.806,0.01,1130
"德赛",0.808,0.014,1084
"药业",0.804,0.012,6536
"市值",0.792,0.002,15690
"硅料",0.808,0.018,5310
"平台",0.798,0.01,79283
"提速",0.796,0.008,18462
"供应商",0.788,0.002,21825
"增长率",0.788,0.002,8785
"引入",0.792,0.006,10549
"洽洽",0.788,0.006,1213
"条件",0.778,0.002,8681
"签署",0.776,0,8367
"优化",0.774,0,65175
"认可",0.78,0.006,8748
"购买",0.778,0.006,7387
"协议",0.776,0.004,17278
"混改",0.78,0.01,3046
"创达",0.79,0.02,1294
"商业化",0.782,0.014,6416
"以南",0.772,0.004,349
"低估",0.766,0,3880
"制动",0.792,0.026,1226
"驾驶",0.788,0.024,9234
"视光",0.784,0.02,774
"优秀",0.758,0,9794
"品牌",0.786,0.028,114649
"全新",0.762,0.006,7073
